OID_,ID,NOMBRE,CALLE1,CALLE2,INTERSEC,INAUGURA,LIN_SENT_N,LIN_SENT_S,METROBUS
,101.000000000000000,Sáenz,RABANAL AV, ,Entre Sáenz y Del Barco Centenera,si,91 - 115, ,Metrobus Sur - Ramal Coronel Roca
,102.000000000000000,Roosevelt,CABILDO AV, ,Entre Roosvelt y Manuel Ugarte,si,41 - 57 - 60 - 194, ,Metrobus Norte - Av Cabildo
,103.000000000000000,Ugarte,CABILDO AV, ,Entre Manuel Ugarte y Av Congreso,si,59 - 68 - 133 - 152 - 161, ,Metrobus Norte - Av Cabildo
,104.000000000000000,Congreso,CABILDO AV, ,Entre Av Congreso y Quesada,si,29 - 60 - 168 - 184, ,Metrobus Norte - Av Cabildo
,105.000000000000000,Congreso,CABILDO AV, ,Entre Av Congreso y Quesada,si, ,59 - 60 - 68 - 152 - 161,Metrobus Norte - Av Cabildo
,106.000000000000000,Quesada,CABILDO AV, ,Entre Quesada e Iberá,si, ,29 - 57- 133 - 168 - 184 - 194,Metrobus Norte - Av Cabildo
,107.000000000000000,Iberá,CABILDO AV, ,Entre Guayra y Campos Salles,si,60, ,Metrobus Norte - Av Cabildo
,108.000000000000000,Iberá,CABILDO AV, ,Entre Iberá y Guayra,si,59 - 68 - 152 - 161, ,Metrobus Norte - Av Cabildo
,109.000000000000000,Campos Salles,CABILDO AV, ,Entre Campos Salles y Manuela Pedraza,si,29 - 133 - 168 - 184, ,Metrobus Norte - Av Cabildo
,110.000000000000000,Manuela Pedraza,CABILDO AV, ,Entre Manuela Pedraza y Juana Azurduy,si, ,59 - 60 - 68 - 152,Metrobus Norte - Av Cabildo
,111.000000000000000,Juana Azurduy,CABILDO AV, ,Entre Juana Azurduy y Núñez,si, ,133 - 161 - 168 - 184,Metrobus Norte - Av Cabildo
,112.000000000000000,Núñez,CABILDO AV, ,Entre Juana Azurduy y Núñez,si,59 - 60 - 68 - 133, ,Metrobus Norte - Av Cabildo
,113.000000000000000,Núñez,CABILDO AV, ,Entre Núñez y Crisólogo Larralde,si,152 - 161 - 168 - 184, ,Metrobus Norte - Av Cabildo
,114.000000000000000,Crisólogo Larralde,CABILDO AV, ,Entre Crisólogo Larralde y Av Comodoro Rivadavia,si,57 - 194, ,Metrobus Norte - Av Cabildo
,115.000000000000000,Manzanares,CABILDO AV, ,Entre Av García del Río y Manzanares,si, ,57 - 59 - 60 - 68 - 133,Metrobus Norte - Av Cabildo
,116.000000000000000,Vilela,CABILDO AV, ,Entre Paroissien y Vilela,si,59 - 68 - 152 - 161, ,Metrobus Norte - Av Cabildo
,117.000000000000000,Besares,CABILDO AV, ,Entre Vilela y Besares,si,60 - 133 - 168 - 184, ,Metrobus Norte - Av Cabildo
,118.000000000000000,Ruiz Huidobro,CABILDO AV, ,Entre Besares y Ruiz Huidobro,si, ,59 - 60 - 68 - 152,Metrobus Norte - Av Cabildo
,119.000000000000000,Correa,CABILDO AV, ,Entre Ruiz Huidobro y Correa,si, ,133 - 161 - 168 - 184,Metrobus Norte - Av Cabildo
,120.000000000000000,Ramallo,CABILDO AV, ,Entre Correa y Ramallo,si,59 - 68 - 152 - 161, ,Metrobus Norte - Av Cabildo
,121.000000000000000,Arias,CABILDO AV, ,Entre Ramallo y Arias,si,60 - 133 - 168 - 184, ,Metrobus Norte - Av Cabildo
,122.000000000000000,Deheza,CABILDO AV, ,Entre Arias y Deheza,si, ,59 - 60 - 68 - 152,Metrobus Norte - Av Cabildo
,123.000000000000000,Pico,CABILDO AV, ,Entre Deheza y Pico,si, ,133 - 161 - 168 - 184,Metrobus Norte - Av Cabildo
,124.000000000000000,Gral Paz,CABILDO AV,PAZ GRAL AV,Debajo de la Av Gral Paz,si,19 - 71 - 161 - 130 - 152 - 184, ,Metrobus Norte - Av Cabildo
,125.000000000000000,Gral Paz,CABILDO AV,PAZ GRAL AV,Debajo de la Av Gral Paz,si, ,59 - 60 - 68 - 133 - 152 - 161 - 168 - 184,Metrobus Norte - Av Cabildo
,126.000000000000000,Gral Paz,CABILDO AV,PAZ GRAL AV,Debajo de la Av Gral Paz,si,21 - 59 - 60 - 68 - 133 - 151 - 168, ,Metrobus Norte - Av Cabildo
,127.000000000000000,Gral Paz,CABILDO AV,PAZ GRAL AV,Debajo de la Av Gral Paz,si, ,19 - 71 - 130 - 151,Metrobus Norte - Av Cabildo
,128.000000000000000,Laprida,MAIPU AV, ,Entre Aristóbulo del Valle y Francisco Narciso de Laprida,si,19 - 59 - 60 -71 - 130 - 152, ,Metrobus Norte - Av Maipú (provincia)
,129.000000000000000,Alsina,MAIPU AV, ,Entre Narciso de Laprida y Adolfo Alsina,si,21 - 161 - 168 - 184 - 203 - 314 - 365, ,Metrobus Norte - Av Maipú (provincia)
,130.000000000000000,Álvarez,MAIPU AV, ,Entre Adolfo Alsina y Agustín Álvarez,si, ,19 - 59 - 71 -152 - 161,Metrobus Norte - Av Maipú (provincia)
,131.000000000000000,Lavalle,MAIPU AV, ,Entre Agustín Álvarez y Gral Lavalle,si, ,60 - 130 - 168 - 203 - 314 - 365,Metrobus Norte - Av Maipú (provincia)
,132.000000000000000,Las Heras,MAIPU AV, ,Entre Gral Lavalle y Las Heras,si,19 - 59 - 60 - 71 - 130 - 152 - 168, ,Metrobus Norte - Av Maipú (provincia)
,133.000000000000000,Guemes,MAIPU AV, ,Entre Las Heras y Guemes,si,21 - 161 - 184 - 203 - 314 - 365, ,Metrobus Norte - Av Maipú (provincia)
,134.000000000000000,Melo,MAIPU AV, ,Entre Guemes y Melo,si, ,19 - 59- 71 -152,Metrobus Norte - Av Maipú (provincia)
,135.000000000000000,Haedo,MAIPU AV, ,Entre Melo y Haedo,si, ,60 - 130 - 168 - 203 - 314 - 365,Metrobus Norte - Av Maipú (provincia)
,136.000000000000000,Santa Rosa,MAIPU AV, ,Entre Martín J. Haedo y Santa Rosa,si,19 - 59 - 71 - 152, ,Metrobus Norte - Av Maipú (provincia)
,137.000000000000000,Roca,MAIPU AV, ,Entre Santa Rosa y Roca,si,60 - 130 - 168 - 203 - 314 -365, ,Metrobus Norte - Av Maipú (provincia)
,138.000000000000000,Urquiza,MAIPU AV, ,Entre Roca y Urquiza,si, ,19 - 59 - 71 - 152,Metrobus Norte - Av Maipú (provincia)
,139.000000000000000,Vergara,MAIPU AV, ,Entre Urquiza y Vergara,si, ,60 - 130 - 168 - 203 - 314 - 365,Metrobus Norte - Av Maipú (provincia)
,140.000000000000000,San Martín,MAIPU AV, ,Entre Vergara y Gral San Martín,si,19 - 60 - 71 - 130 - 168, ,Metrobus Norte - Av Maipú (provincia)
,141.000000000000000,Arenales,MAIPU AV, ,Entre Gral San Martín y Arenales,si,59 - 152, ,Metrobus Norte - Av Maipú (provincia)
,142.000000000000000,Libertad,MAIPU AV, ,Entre Arenales y Libertad,si,203 - 314 - 365, ,Metrobus Norte - Av Maipú (provincia)
,143.000000000000000,Yrigoyen,MAIPU AV, ,Entre Libertad e Hipólito Yrigoyen,si, ,19 - 59 - 71 - 152,Metrobus Norte - Av Maipú (provincia)
,144.000000000000000,Italia,MAIPU AV, ,Entre Hipólito Yrigoyen e Italia,si, ,21 - 60 - 203 - 314 - 365,Metrobus Norte - Av Maipú (provincia)
,145.000000000000000,Malaver,MAIPU AV, ,Entre Italia y Antonio Malaver,si,19 - 21 - 59 - 60 - 71 - 152 - 203 - 314 - 365, ,Metrobus Norte - Av Maipú (provincia)
,146.000000000000000,Paroissien,CABILDO AV, ,Entre Av García del Río y Paroissien,si, ,152 - 161 - 168 - 184 -194,Metrobus Norte - Av Cabildo
